srl_key,Category,name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity
1205,Cooking Essentials,Weikfield Veg Jelly Crystals - Orange,45,2,6,44,90,FALSE,90
1206,Packaged Food,Maggi Imli Sauce Pichkoo,22,0,6,22,90,FALSE,90
1207,Ice Cream & Desserts,Maggi Imli Sauce Pichkoo,22,0,6,22,90,FALSE,90
1208,Chocolates & Candies,Maggi Imli Sauce Pichkoo,22,0,6,22,90,FALSE,90
1209,Chocolates & Candies,Amul Lite Spread,40,2,5,39,100,FALSE,100
1210,Chocolates & Candies,Ching's Secret Chowmein Hakka Noodles Masala,60,10,2,54,100,FALSE,100
1211,Chocolates & Candies,Mother's Recipe Madras Appalam,50,10,6,45,100,FALSE,100
1212,Chocolates & Candies,Amul Delicious Fat Spread - Cholesterol Free,18,5,6,17,100,FALSE,100
1213,Ice Cream & Desserts,Dabur Hommade - Imli Sauce Saunth,20,10,0,18,100,TRUE,100
1214,Ice Cream & Desserts,Mother's Recipe Madras Appalam,50,10,6,45,100,FALSE,100
1215,Ice Cream & Desserts,Ching's Secret Chowmein Hakka Noodles Masala,60,10,2,54,100,FALSE,100
1216,Ice Cream & Desserts,Amul Delicious Fat Spread - Cholesterol Free,18,5,6,17,100,FALSE,100
1217,Packaged Food,Dabur Hommade - Imli Sauce Saunth,20,10,0,18,100,TRUE,100
1218,Ice Cream & Desserts,Amul Lite Spread,40,2,5,39,100,FALSE,100
1219,Packaged Food,Amul Lite Spread,40,2,5,39,100,FALSE,100
1220,Beverages,The Bake Shop Burger Buns,20,0,0,20,100,TRUE,100
1221,Packaged Food,Amul Delicious Fat Spread - Cholesterol Free,18,5,6,17,100,FALSE,100
1222,Beverages,Amul Cheese Slices,71,1,0,70,100,TRUE,100
1223,Beverages,RRO Goat Milk Fetta Cheee,345,31,6,237,100,FALSE,100
1224,Beverages,President Butter - Salted,54,0,6,54,100,FALSE,100
1225,Beverages,Amul Lite Spread,40,2,5,39,100,FALSE,100
1226,Beverages,D'lecta Natural Feta Cheese Block,100,5,4,95,100,FALSE,100
1227,Packaged Food,Ching's Secret Chowmein Hakka Noodles Masala,60,10,2,54,100,FALSE,100
1228,Packaged Food,Mother's Recipe Madras Appalam,50,10,6,45,100,FALSE,100
1229,Cooking Essentials,On1y Sea Salt Grinder,89,0,6,89,100,FALSE,100
1230,Cooking Essentials,Satyam Nighties Spices  Chilli Bore,89,10,6,80,100,FALSE,100
1231,Cooking Essentials,Sugarfree Natural Green Stevia Leaves Zero Calorie,75,0,2,75,100,FALSE,100
1232,Cooking Essentials,Praakritik Organic Ginger Powder,139,10,6,125,100,FALSE,100
1233,Cooking Essentials,Popular Essentials Red Cherry/Gundu Chilli,95,0,6,95,100,FALSE,100
1234,Cooking Essentials,24 Mantra Organic Cumin Powder,70,0,6,70,100,FALSE,100
1235,Cooking Essentials,Popular Essentials Phool Makhana (Jumbo Size),150,14,0,128,100,TRUE,100
1236,Cooking Essentials,Everest Tikhalal Hot & Red Chilly Powder,47,2,0,46,100,TRUE,100
1237,Cooking Essentials,Popular Essentials Chia Seeds,50,2,0,49,100,TRUE,100
1238,Cooking Essentials,Popular Essentials Mustard Seeds Rai Big,20,0,0,20,100,TRUE,100
1239,Cooking Essentials,Everest Chat Masala,65,9,0,59,100,TRUE,100
